JANELA,MONEYNESS_ALVO,STOP_CALIBRADO,CENARIO,DIAS,DTE_D0,DTE_RESTANTE,RETORNO_SPOT,N_CONTRATOS,CUSTO_OPCAO,PNL_OPCAO,PNL_SPOT,RET_OPCAO,RET_SPOT,VANTAGEM
Jan→Abr (alta gradual),0.05,0.15,I,45.0,106.96,58.96,0.03741640477605441,2.8193740081941625,27531.187190015997,2988.5364486858107,3741.640477605441,0.029885364486858107,0.03741640477605441,-0.007531040289196303
Jan→Abr (alta gradual),0.05,0.15,II,45.0,106.96,58.96,0.03741640477605441,2.8193740081941625,27531.187190015997,17979.67429035997,3741.640477605441,0.1797967429035997,0.03741640477605441,0.1423803381275453
Jan→Abr (alta gradual),0.05,0.15,III,45.0,106.96,58.96,0.03741640477605441,2.8193740081941625,27531.187190015997,18511.724509724107,3741.640477605441,0.18511724509724106,0.03741640477605441,0.14770084032118666
Jan→Abr (alta gradual),0.05,0.15,I,60.0,106.96,45.96,0.050622957966881155,2.8193740081941625,27531.187190015997,2748.8896579893085,5062.295796688116,0.027488896579893084,0.050622957966881155,-0.023134061386988074
Jan→Abr (alta gradual),0.05,0.15,II,60.0,106.96,45.96,0.050622957966881155,2.8193740081941625,27531.187190015997,25683.23821655996,5062.295796688116,0.2568323821655996,0.050622957966881155,0.20620942419871843
Jan→Abr (alta gradual),0.05,0.15,III,60.0,106.96,45.96,0.050622957966881155,2.8193740081941625,27531.187190015997,27000.915366822188,5062.295796688116,0.27000915366822187,0.050622957966881155,0.21938619570134074
Jan→Abr (alta gradual),0.05,0.15,I,75.0,106.96,32.0,0.025530766416064846,2.8193740081941625,27531.187190015997,-12687.183036873734,2553.0766416064844,-0.12687183036873734,0.025530766416064846,-0.1524025967848022
Jan→Abr (alta gradual),0.05,0.15,II,75.0,106.96,32.0,0.025530766416064846,2.8193740081941625,27531.187190015997,11652.156226138719,2553.0766416064844,0.11652156226138718,0.025530766416064846,0.09099079584532235
Jan→Abr (alta gradual),0.05,0.15,III,75.0,106.96,32.0,0.025530766416064846,2.8193740081941625,27531.187190015997,11821.18397896703,2553.0766416064844,0.1182118397896703,0.025530766416064846,0.09268107337360547
Jan→Abr (alta gradual),0.05,0.15,I,90.0,106.96,17.0,0.0642966323159607,2.8193740081941625,27531.187190015997,-2142.7242462275617,6429.66323159607,-0.021427242462275616,0.0642966323159607,-0.08572387477823631
Jan→Abr (alta gradual),0.05,0.15,II,90.0,106.96,17.0,0.0642966323159607,2.8193740081941625,27531.187190015997,34405.55471784122,6429.66323159607,0.34405554717841225,0.0642966323159607,0.2797589148624515
Jan→Abr (alta gradual),0.05,0.15,III,90.0,106.96,17.0,0.0642966323159607,2.8193740081941625,27531.187190015997,36547.979340094425,6429.66323159607,0.3654797934009443,0.0642966323159607,0.30118316108498355
Jan→Abr (alta gradual),0.1,0.05,I,0.0,106.96,106.96,0.0,2.0761679897831877,8263.148599337086,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.1,0.05,II,0.0,106.96,106.96,0.0,2.0761679897831877,8263.148599337086,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.1,0.05,III,0.0,106.96,106.96,0.0,2.0761679897831877,8263.148599337086,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.1,0.05,I,15.0,106.96,91.96,0.011877853007351964,2.0761679897831877,8263.148599337086,-2470.639907841993,1187.7853007351964,-0.02470639907841993,0.011877853007351964,-0.036584252085771894
Jan→Abr (alta gradual),0.1,0.05,II,15.0,106.96,91.96,0.011877853007351964,2.0761679897831877,8263.148599337086,2082.7763692753515,1187.7853007351964,0.020827763692753513,0.011877853007351964,0.008949910685401552
